"ID";NAME;TRADEDATE;OPEN;HIGH;LOW;CLOSE;VALUE;DURATION;YIELD
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-04-17;;;;7.83;68869743228.75;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-04-16;;;;7.79;70812900681.13;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-04-15;;;;7.8;77921060636.47;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-04-14;;;;7.8;76239321285.45;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-04-11;;;;7.65;74483032319.32;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-04-10;;;;7.58;75114313466.01;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-04-09;;;;7.58;74904880372.84;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-04-08;;;;7.89;72647814807.89;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-04-07;;;;7.98;72781936693.55;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-04-04;;;;7.95;72748540450.09;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-04-03;;;;8;71516332261.42;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-04-02;;;;8.01;75891101837.98;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-04-01;;;;8.09;76450580720.48;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-03-31;;;;8.13;79359646120.95;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-03-28;;;;8.03;75690112514.28;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-03-27;;;;7.98;77888910632.71;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-03-26;;;;7.98;76978443140.39;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-03-25;;;;7.97;77793607384.87;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-03-24;;;;7.98;78007021646.14;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-03-21;;;;8.01;77725576706.73;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-03-20;;;;8.05;77730196784.07;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-03-19;;;;8.01;81425525844.14;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-03-18;;;;8.03;83156284097.26;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-03-17;;;;8.04;88848813127.21;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-03-14;;;;8.12;100165789415.01;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-03-13;;;;7.95;104740189077.54;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-03-12;;;;7.94;106812678316.92;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-03-11;;;;7.97;103967306840.75;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-03-07;;;;7.94;99578097103.66;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-03-06;;;;7.98;104809393946.1;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-03-05;;;;7.98;102042950479.82;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-03-04;;;;7.89;95199280321.88;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-03-03;;;;7.37;94947177579.72;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-02-28;;;;6.27;111139871842.57;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-02-27;;;;6.27;107666390041.84;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-02-26;;;;6.28;106093634928.98;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-02-25;;;;6.24;106110197272.07;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-02-24;;;;6.23;101098137761.18;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-02-21;;;;6.19;102729012325.33;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-02-20;;;;6.16;107353082116.92;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-02-19;;;;6.16;110927931610.43;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-02-18;;;;6.19;101884342333.36;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-02-17;;;;6.14;102185286833.06;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-02-14;;;;6.04;109430994930.22;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-02-13;;;;5.98;106209228581.72;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-02-12;;;;6.19;111580053533.8;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-02-11;;;;6.12;105759354289.4;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-02-10;;;;5.84;107238740249.31;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-02-07;;;;5.86;102951037140.39;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-02-06;;;;6.17;98098259776.04;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-02-05;;;;6.31;103540522474.28;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-02-04;;;;6.35;117211349527;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-02-03;;;;6.4;121725559386.38;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-01-31;;;;6.42;112505149730.76;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-01-30;;;;6.39;113224822567.08;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-01-29;;;;6.34;102624492926.49;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-01-28;;;;6.34;103126028983.15;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-01-27;;;;6.37;103187385943.22;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-01-24;;;;6.35;107748008276.23;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-01-23;;;;6.32;101945126194.54;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-01-22;;;;6.32;104375399061.54;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-01-21;;;;6.26;97458559005.66;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-01-20;;;;6.22;99424374441.67;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-01-17;;;;6.12;103681534394.7;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-01-16;;;;6.09;104058602331.33;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-01-15;;;;6.14;102701050095.33;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-01-14;;;;6.21;101191497145.89;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-01-13;;;;6.27;97255909018.05;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-01-10;;;;6.06;95918001987.93;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-01-09;;;;6.37;96990778523.19;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-01-08;;;;6.55;32890536266.23;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2014-01-06;;;;6.78;42400354126.07;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-12-30;;;;6.65;0;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-12-27;;;;6.65;90775667011.87;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-12-26;;;;6.63;103959106567.59;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-12-25;;;;6.56;102341531043.29;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-12-24;;;;6.46;103270236708.63;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-12-23;;;;6.46;100436056538.75;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-12-20;;;;6.46;98758598598.51;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-12-19;;;;6.46;97986499149.08;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-12-18;;;;6.46;99720975826.53;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-12-17;;;;6.47;101413767757.83;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-12-16;;;;6.4;105327253060.07;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-12-13;;;;6.39;103817266750.27;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-12-12;;;;6.38;110616847066.09;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-12-11;;;;6.39;108290942991.29;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-12-10;;;;6.38;103308557616.33;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-12-09;;;;6.38;97921805209.95;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-12-06;;;;6.38;90671594109.35;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-12-05;;;;6.38;106177762926.86;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-12-04;;;;6.39;93308041856.63;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-12-03;;;;6.42;94011347136.23;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-12-02;;;;6.41;90851750371.91;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-11-29;;;;6.35;95514238830.97;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-11-28;;;;6.31;84143217239.01;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-11-27;;;;6.31;84479420387.51;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-11-26;;;;6.32;87094243588.82;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-11-25;;;;6.22;84394661010.69;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-11-22;;;;6.14;79476976330.46;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-11-21;;;;6.12;78192016504.75;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-11-20;;;;6.11;76888205412.99;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-11-19;;;;6.09;75403698577.46;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-11-18;;;;6.09;75892406010.07;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-11-15;;;;6.1;74853895579.92;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-11-14;;;;6.09;71107350779.35;;
